,crystal structure,supercell size,Defect,Charge state, PBE Relax Energy (eV),HSE Gamma Relax (eV),Total Force,Vasp HSE Frozen,Total Force,VASP HSE Relax ,diff,Total Force,Potential allignment correction,Scaled madelung correct
SnS,pnma,72 atoms,None,--,-319.28,,,,,-382.36,,,,
SnS,pnma,72 atoms,V_Sn,-2,-305.20,-365.12,0.03,-367.65,1.29,-367.79,0.14,0.25,0.39,0.3
SnS,pnma,72 atoms,V_Sn,-1,-309.37,-369.06,0.03,-371.61,1.3,-371.74,0.13,0.42,0.21,0.08
SnS,pnma,72 atoms,V_Sn,0,-313.38,-373.13,0.03,-375.32,1.43,-375.51,0.19,0.26,0,0
SnS,pnma,72 atoms,V_Sn,1,-317.31,,,,,,,,,
SnS,pnma,72 atoms,V_Sn,2,-321.25,,,,,,,,,
SnS,pnma,72 atoms,V_S,0,-312.97,-372.31,0.04,-374.51,1.33,-374.7,0.2,0.35,0,0
SnS,pnma,72 atoms,V_S,1,-317.50,-376.66,0.03,-379.01,1.23,-379.19,0.18,0.15,-0.09,0.08
SnS,pnma,72 atoms,V_S,2,-322.48,-381.61,0.11,-384.11,1.3,-384.28,0.17,0.28,-0.17,0.3
SnS,pnma,72 atoms,Sn_S,-2,-306.37,-366.13,0.03,-368.77,1.48,-369.01,0.24,0.39,-0.02,0.3
SnS,pnma,72 atoms,Sn_S,-1,-311.40,-370.94,0.05,-373.79,1.49,-374.08,0.29,0.24,-0.04,0.08
SnS,pnma,72 atoms,Sn_S,0,-316.25,-376.09,0.03,-378.56,1.49,-378.77,0.22,0.18,0,0
SnS,pnma,72 atoms,Sn_S,1,-320.90,-380.63,0.03,-383.05,1.41,-383.25,0.21,0.25,0.04,0.08
SnS,pnma,72 atoms,Sn_S,2,-325.55,-385.19,0.04,-387.63,1.46,-387.84,0.21,0.18,0.11,0.3
SnS,pnma,72 atoms,S_Sn,-2,-307.90,-368.92,0.03,-371.35,1.29,-371.51,0.17,0.29,0.13,0.3
SnS,pnma,72 atoms,S_Sn,-1,-312.37,-373.04,0.09,-375.57,1.28,-375.72,0.16,0.22,0.07,0.08
SnS,pnma,72 atoms,S_Sn,0,-317.00,-377.83,0.03,-379.91,1.47,-380.18,0.27,0.54,0,0
SnS,pnma,72 atoms,S_Sn,1,-321.50,-382.25,0.04,-384.51,1.31,-384.71,0.2,0.52,-0.05,0.08
SnS,pnma,72 atoms,S_Sn,2,-325.85,-386.6,0.09,-388.96,1.42,-389.15,0.19,0.2,-0.02,0.3
SnS,pnma,72 atoms,Sn_i,0,-320.38,,,,,,,,,
SnS,pnma,72 atoms,Sn_i,1,-325.29,,,,,,,,,
SnS,pnma,72 atoms,Sn_i,2,-330.41,,,,,,,,,
SnS,pnma,72 atoms,Sn_i,3,-335.36,,,,,,,,,
SnS,pnma,72 atoms,Sn_i,4,-340.03,,,,,,,,,
SnS,pnma,72 atoms,S_i,0,-310.72,,,,,,,,,
SnS,pnma,72 atoms,S_i,-1,-316.26,,,,,,,,,
SnS,pnma,72 atoms,S_i,-2,-321.71,,,,,,,,,
